"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","BARCODE TYPE","BATCH NUMBER"
"1A400031266eE7E000004835","10003474","PRE-ROLL TWO BERRY-- FLOWER",2,3,10,"CANNIBIS","USER","004835"
"1A400031266EE7E000004824","10003476","PRE ROLL SKUNK ISLAND OG",2,3,10,"CANNIBIS","USER","0004824"
"1A400031266EE6B000002387","10003478","NYC DIESEL 7G",0,23.38,75,"CANNIBIS","USER","2387"
"1A400031266EE6b000002387","10003480","NYC DIESEL 1G",-15,3.34,12,"CANNIBIS","USER","2387"
"1A400031266eE6B000002387","10003482","NYC DIESEL 3.5G",-2,11.69,40,"CANNIBIS","USER","2387"
"1A400031266EF5A000000933","10003484","BUBBA GUM 7G",1,20.31,75,"CANNIBIS","USER","00933"
"1A400031266EF5A000000933","10003486","BUBBA GUM 3.5G",1,10.16,40,"CANNIBIS","USER","00933"
"1A400031266EF5A000000933","10003488","BUBBA GUM 1G",-8,2.91,12,"CANNIBIS","USER","00933"
"1A400031268750D000001331","10003490","JERKY 5PACK HOT & SPICY",0,12,25,"CANNIBIS","USER","NA"
"1A400031268750d000001333","10003492","JERKY 5PACK TERIYAKI",3,12,20,"CANNIBIS","USER","NA"
"1A400031268750D000001329","10003494","JERKY SINGLE HOT & SPICY",0,2.75,6,"CANNIBIS","USER","NA"
"1a400031268750D000001330","10003496","JERKY SINGLE TERIYAKI",5,2.75,6,"CANNIBIS","USER","NA"
"1A400031268750D000001334","10003498","SAMPLES EACH",3,0.01,0.01,"CANNIBIS","USER","NA"
"1A400031268750D000001332","10003500","SAMPLES EACH",3,0.01,0.01,"CANNIBIS","USER","NA"
"1A4000312687540000003739","10003502","QUEST SHATTER BLUE DIESEL RIP",0,12,50,"CANNIBIS","USER","NA"
"1a4000312687540000003738","10003504","QUEST SHATTER GREASE MONKEY",0,12,30,"CANNIBIS","USER","NA"
"1a4000312687540000003741","10003506","QUEST SHATTER OGRE KUSH",0,12,30,"CANNIBIS","USER","NA"
"1A4000312687499000016573","10003514","BLUE KUDU TIERRA DEL SOL",5,9.5,25,"CANNIBIS","USER","NA"
"1a4000312687499000016570","10003516","BLUE KUDU CANYON LANDS",17,9.5,25,"CANNIBIS","USER","NA"
"1A4000312687499000016576","10003518","BLUE KUDU MESA SKYLINE",23,9.5,25,"CANNIBIS","USER","NA"
"1a40003126874AB000004963","10003520","ESSENTIAL WAX TANGERINE KUSH",-1,23,60,"CANNIBIS","USER","NA"
"1a4000312687498000021517","10003522","NEOS 600 CHERRY DIESEL",0,18,45,"CANNIBIS","USER","NA"
"1a4000312687488000026161","10003524","PAX PODS TANGIE",4,30,70,"CANNIBIS","USER","NA"
"1A4000312687488000026162","10003526","PAX PODS PANAMA PUNCH",10,30,70,"CANNIBIS","USER","NA"
"1a4000312687488000026160","10003528","PAX PODS SOUR DIESEL",3,30,70,"CANNIBIS","USER","NA"
"1a4000312687488000026163","10003530","PAX PODS BUBBA KUSH",2,30,70,"CANNIBIS","USER","NA"
"1a40003126874cA000008273","10003538","CAMPER SCOUT COOKIES .25G",0,4.75,15,"CANNIBIS","USER","NA"
"1A40003126874cA000008274","10003540","CAMPER PINEAPPLE EXPRESS .25G",0,4.75,15,"CANNIBIS","USER","NA"
"1A40003126874CA000008275","10003542","CAMPER OG SIN- 1G SHATTER",0,17,50,"CANNIBIS","USER","NA"
"1a40003126874CA000008276","10003544","CAMPER GOLDEN GOAT SHATTER 1G",0,17,50,"CANNIBIS","USER","NA"
"1a400031266EEF2000015644","10003546","BLUE DREAM 7G",14,20.31,110,"CANNIBIS","USER","NA"
"1A400031266EEF2000015644","10003548","BLUE DREAM 3.5G",66,10.16,60,"CANNIBIS","USER","NA"
"1A400031266eEF2000015644","10003550","BLUE DREAM 1G",62,2.9,20,"CANNIBIS","USER","NA"
"1A400031266Ef5A000000935","10003552","SNO CAP 7G",0,20.31,75,"CANNIBIS","USER","0935"
"1A400031266EF5a000000935","10003554","SNO CAP 3.5G",1,10.16,40,"CANNIBIS","USER","0935"
"1a400031266EF5A000000935","10003556","SNO CAP 1G",0,2.9,12,"CANNIBIS","USER","0935"
"1a400031266ee7e000004836","10003558","PRE-ROLL IRON TRIANGLE",5,3,10,"CANNIBIS","USER","NA"
"1a400031266eE7E000004826","10003560","PRE-ROLL 11LB HAMMER",-3,3,10,"CANNIBIS","USER","NA"
"1A400031266ee7e000004838","10003562","PRE-ROLL MASTER KUSH - FLOWER",2,3,10,"CANNIBIS","USER","NA"
"1A400031266EEF2000015560","10003585","BIO CHEM 7G",10,23.23,110,"CANNIBIS","USER","15560"
"1A400031266EEF2000015560","10003587","BIO CHEM 3.5G",113,11.61,60,"CANNIBIS","USER","15560"
"1A400031266EEF2000015560","10003589","BIO CHEM 1G",82,3.31,20,"CANNIBIS","USER","15560"
"1A400031266EEF2000014294","10003594","CHEMDAWG 1G",29,3.125,20,"CANNIBIS","USER","14294"
"1A400031266EEF2000014294","10003596","CHEMDAWG 3.5G",40,10.93,60,"CANNIBIS","USER","14294"
"1A400031266eEF2000014294","10003598","CHEMDAWG 7G",4,21.875,110,"CANNIBIS","USER","14294"
"1A40003126874B6000032010","10003600","MARY'S THC INDICA PATCH",2,5,12,"CANNIBIS","USER","NA"
"1A40003126874B6000032011","10003602","MARY'S THC SATIVA PATCH",0,5,12,"CANNIBIS","USER","NA"
"1A40003126874B6000032012","10003604","MARY'S CBD/THC PATCH",8,5,12,"CANNIBIS","USER","NA"
"1A40003126874B6000032013","10003606","MARY'S CBD PATCH",59,5,12,"CANNIBIS","USER","NA"
"1A40003126874B6000032014","10003608","MARY'S CBC COMPOUND",0,25,55,"CANNIBIS","USER","NA"
"1A4000312687484000031820","10003610","C. L. WAX LEMON D/HASH PLANT",20,15,40,"CANNIBIS","USER","NA"
